Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name
"Aroostook County, ME",0.0,0.2,0.0,0.2,0.2,NENG_ME
"Tippecanoe County, IN",0.0,0.5,0.0,0.5,0.5,MIS_INKY
"Madison County, IA",0.0,0.0,40.0,40.0,40.0,MIS_IA
"Stark County, OH",0.0,1.5,221.0,222.5,222.5,PJM_ATSI
"Fairfax County, VA",272.7,338.4,334.0,672.4,945.1,PJM_Dom
"Perry County, OH",26.0,24.0,0.0,24.0,50.0,PJM_West
"Andrews County, TX",0.0,105.0,100.0,205.0,205.0,ERC_WEST
"Marion County, IN",0.0,13.95,0.0,13.95,13.95,MIS_INKY
"Crisp County, GA",200.0,0.0,0.0,0.0,200.0,S_SOU
"Norfolk city, VA",0.0,0.75,0.0,0.75,0.75,PJM_Dom
"Childress County, TX",2000.0,750.0,50.0,800.0,2800.0,ERC_WEST
"Dickens County, TX",0.0,180.0,0.0,180.0,180.0,ERC_PHDL
"Hale County, TX",400.0,0.0,200.0,200.0,600.0,SPP_SPS
"Erie County, OH",190.0,0.0,96.0,96.0,286.0,PJM_ATSI
"Lancaster County, NE",280.0,0.0,40.0,40.0,320.0,SPP_NEBR
"Hillsborough County, NH",0.0,2.6,0.0,2.6,2.6,NENGREST
"Orange County, VA",600.0,0.0,0.0,0.0,600.0,PJM_AP
"Boone County, IN",80.0,0.0,0.0,0.0,80.0,MIS_INKY
"Cumberland County, NJ",550.0,0.0,50.0,50.0,600.0,PJM_EMAC
"Gwinnett County, GA",0.0,94.0,0.0,94.0,94.0,S_SOU
"Butler County, PA",24.5,15.75,0.0,15.75,40.25,PJM_AP
"Greene County, MO",0.0,1.0,0.0,1.0,1.0,SPP_N
"Lake County, IL",420.0,0.0,60.0,60.0,480.0,PJM_COMD
"Lehigh County, PA",0.0,12.35,0.0,12.35,12.35,PJM_WMAC
"Washtenaw County, MI",0.0,0.74,0.0,0.74,0.74,MIS_LMI
"DeKalb County, GA",0.0,19.8,0.0,19.8,19.8,S_SOU
"Bartholomew County, IN",8.0,1.27,0.5,1.77,9.77,MIS_INKY
"Sussex County, VA",600.0,0.0,0.0,0.0,600.0,PJM_Dom
"Mayes County, OK",0.0,570.0,0.0,570.0,570.0,SPP_WEST
"Medina County, TX",40.0,60.0,220.0,280.0,320.0,ERC_REST
"Gray County, TX",150.0,0.0,50.0,50.0,200.0,ERC_PHDL
"Wasco County, OR",0.0,135.0,40.0,175.0,175.0,WECC_PNW
"Monroe County, MI",0.0,0.5,0.0,0.5,0.5,MIS_LMI
"Horry County, SC",10.0,9.0,0.0,9.0,19.0,S_VACA
"Cherokee County, NC",0.0,104.0,0.0,104.0,104.0,S_C_TVA
"Sarpy County, NE",5.0,598.05,0.0,598.05,603.05,SPP_NEBR
"Dutchess County, NY",0.0,10.0,0.0,10.0,10.0,NY_Z_G-I
"Lea County, NM",0.0,2.0,0.0,2.0,2.0,SPP_SPS
"Ramsey County, MN",0.0,4.75,0.0,4.75,4.75,MIS_MNWI
"Fisher County, TX",2000.0,0.0,0.0,0.0,2000.0,ERC_WEST
"Western Connecticut Planning Region, CT",10.0,11.8,0.0,11.8,21.8,NENG_CT
"Clark County, IN",0.0,0.0,75.0,75.0,75.0,MIS_INKY
"Scott County, IA",0.0,6.0,0.0,6.0,6.0,MIS_MIDA
"Hood County, TX",5000.0,300.0,0.0,300.0,5300.0,ERC_REST
"Washington County, OR",690.0,814.1,75.0,889.1,1579.1,WECC_PNW
"Crittenden County, AR",200.0,0.0,0.0,0.0,200.0,MIS_AR
"Sullivan County, IN",115.0,0.0,0.0,0.0,115.0,MIS_INKY
"Boone County, KY",0.0,4.0,0.0,4.0,4.0,PJM_West
"Douglas County, CO",0.0,74.99,22.5,97.49,97.49,WECC_CO
"Prince William County, VA",5159.0,1675.4,1070.0,2745.4,7904.4,PJM_Dom
"Valencia County, NM",0.0,230.0,0.0,230.0,230.0,WECC_NM
