Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,Owner Name,Owner Percent,Holding Company,Holding Company Percent,Regulatory Status,Linked Generator ID_1,Linked Generator ID_2,Linked Generator ID_3,Linked Generator ID_4,Linked Generator ID_5,Linked Generator ID_6
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN16,54766,G,GEN16,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN17,54766,G,GEN17,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN18,54766,G,GEN18,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN19,54766,G,GEN19,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN2,54766,G,GEN2,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN20,54766,G,GEN20,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN21,54766,G,GEN21,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN22,54766,G,GEN22,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN23,54766,G,GEN23,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN24,54766,G,GEN24,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
