Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,148,8806.081188,9014.304075,17218.0931,52019.28576,18868.09294,7054.007623,8986.764911,9398.879126,30836.74947
,,,,,,,,149,8960.592989,9439.847949,17776.7063,52315.64856,19660.34023,7170.225008,9286.773141,9664.882682,31869.92171
,,,,,,,,150,8914.659214,9383.802193,18635.67886,52009.50276,19576.96144,7150.462128,9175.79228,9606.078471,31619.27969
,,,,,,,,151,8858.624629,9313.647962,19237.29161,51620.73719,19415.20724,7149.262281,8921.893154,9481.117498,31464.73922
,,,,,,,,152,8735.826591,9351.961142,19312.95823,51263.0529,19192.10677,7120.110325,8607.802805,9361.763868,31262.1045
,,,,,,,,153,8614.270315,9310.492008,19411.69028,51005.91653,19046.23145,7085.606848,8480.076329,9253.589449,30990.10277
,,,,,,,,154,8470.696412,9283.231397,19493.42791,50804.00347,18711.46483,7052.855071,8343.813334,9116.142779,30688.69896
,,,,,,,,155,8357.315317,9325.1267,19521.73319,50693.71418,18528.62749,7030.724215,8287.103494,9089.054718,30714.3342
,,,,,,,,156,8246.510894,9236.919899,19546.68884,50681.13811,18576.91395,7000.590764,8245.59676,8965.258625,30459.20379
,,,,,,,,157,8212.366429,9259.435879,19610.44811,50725.31544,18916.89679,6939.204982,8382.702906,8882.792435,30240.48596
,,,,,,,,158,8314.905844,9382.929026,19606.12077,50968.57691,19764.68244,6970.605931,8700.430437,9025.968143,30553.50775
,,,,,,,,159,8585.062511,9648.745091,19741.83163,51470.90211,21207.45485,7068.070728,9325.596384,9373.195519,31274.1835
,,,,,,,,160,8711.00688,9825.241733,20240.36348,51655.11914,21654.35472,7075.247994,9510.86,9406.384541,31869.58686
,,,,,,,,161,8699.83979,9776.296638,20676.42367,51661.28094,21753.83036,7074.240893,9511.882409,9316.385388,31745.43015
,,,,,,,,162,8590.934486,9677.53715,20775.51384,51491.63379,21483.31552,7026.695107,9353.267027,9156.67765,31567.7444
,,,,,,,,163,8391.21844,9383.195997,20746.10481,51139.25877,20737.44731,6933.731903,8999.654248,8797.90602,30691.94736
,,,,,,,,164,8100.428424,8992.321087,20639.53803,50609.19073,19461.56015,6835.14402,8456.496012,8316.879231,29406.48089
,,,,,,,,165,7840.538052,8566.287723,20272.33403,50080.95172,18102.34495,6719.953491,7859.111074,7940.632041,28149.67549
,,,,,,,,166,7613.362536,8168.236667,19608.79936,49674.46432,16993.2823,6653.445024,7340.549867,7645.067903,27221.56806
,,,,,,,,167,7522.318786,7936.26784,18979.94739,49421.05775,16203.60484,6614.153714,7013.479359,7412.670646,26521.96891
,,,,,,,,168,7434.753969,7756.943558,18565.87033,49240.25478,15701.61539,6595.598085,6794.035745,7290.497791,26122.48021
,,,,,,,,169,7383.504982,7705.97208,18296.22631,49132.94534,15404.77451,6569.991821,6711.607007,7275.739306,26030.74726
,,,,,,,,170,7458.765007,7816.843685,18178.65861,49175.68105,15378.01771,6598.16823,6747.125556,7345.319097,26297.4406
,,,,,,,,171,7620.507312,8119.807814,18133.48216,49466.47271,15934.91399,6672.64699,7114.481303,7664.77994,27425.64329
,,,,,,,,172,7955.988022,8666.150428,18341.54449,50081.96386,17222.57173,6865.142731,7716.117218,8331.214618,29374.54901
,,,,,,,,173,8136.13352,9174.468721,18968.88547,50427.99,18133.67725,6960.573027,8126.963568,8654.489148,30745.29726
,,,,,,,,174,8111.7015,9253.838067,19930.4217,50447.54843,18320.94699,6967.744352,8195.34275,8659.213786,31177.07558
,,,,,,,,175,8122.611947,9439.899671,20551.74434,50437.49088,18480.0893,6990.765728,8234.383102,8647.428154,31554.7976
,,,,,,,,176,8129.499373,9665.60179,20759.94825,50445.16731,18697.31804,7010.210051,8314.016127,8694.206628,32062.55407
,,,,,,,,177,8156.023691,9829.390162,20912.47375,50423.90206,18858.25632,7003.514874,8350.309823,8651.933496,32317.43733
,,,,,,,,178,8097.823052,9952.272383,21062.33519,50381.54277,18840.52316,6968.479603,8259.491917,8613.657978,32505.71635
,,,,,,,,179,8078.418182,10046.8198,21082.70053,50417.43449,18863.95256,6952.293124,8232.948394,8516.853083,32751.36981
