Time,Month,Day,Hour,APS,ATSI,COMED,DOM,AE,PS,PECO,JCPL,DPL,RECO,PENLC,BGE,PEPCO,METED,PL,AEP,DAY,DLCO,DEOK,EKPC,OVEC
4285,6,179,14,7894.498615,11612.24761,16979.84086,17962.34487,2738.775608,10176.27612,8396.75431,6156.798687,4055.26498,400.112336,2674.05314,6913.235014,6299.712892,2932.127258,7167.265929,20065.59695,2941.624937,2503.282554,4781.882043,1940.784547,79.8111565
4286,6,179,15,7802.887623,11639.76118,17188.7227,17976.45885,2749.510646,10216.16355,8429.666635,6180.931173,4071.160193,401.6806357,2684.916773,6927.321952,6312.549671,2914.775074,7124.850405,19969.45171,2927.530004,2491.287959,4758.969433,1931.485187,79.42873762
4287,6,179,16,7572.554212,11435.04585,17220.86333,17830.67849,2707.843327,10061.34322,8301.919682,6087.262567,4009.464004,395.593387,2589.444393,6858.033917,6249.410673,2858.154024,6986.446411,19512.76153,2860.579031,2434.313598,4650.134465,1887.313202,77.61224684
4288,6,179,17,7382.180531,11215.71063,16873.44672,17475.61274,2650.54999,9848.462392,8126.265251,5958.466495,3924.630598,387.2233071,2544.415116,6708.035896,6112.72438,2771.85803,6775.505246,18961.29722,2779.734133,2365.515696,4518.713643,1833.974475,75.41879085
4289,6,179,18,7094.786358,10984.21866,16155.60169,17080.26495,2557.632615,9503.215828,7841.391832,5749.58718,3787.0492,373.6488514,2497.882142,6527.968843,5948.637562,2677.826313,6545.65495,18512.21342,2713.898259,2309.490269,4411.691371,1790.538194,73.63255456
4290,6,179,19,6656.351822,10420.02375,15271.36047,16199.75981,2379.873109,8842.727321,7296.402717,5349.981791,3523.8433,347.6796662,2338.428173,6111.521054,5569.147859,2496.335845,6102.021257,17494.66912,2564.725837,2182.546579,4169.197871,1692.11928,69.58525968
4291,6,179,20,6206.210815,9592.829815,14612.59977,15319.21102,2183.251108,8112.152765,6693.583475,4907.973299,3232.707979,318.9548273,2194.888888,5627.194508,5127.803368,2324.737876,5682.568699,16159.13293,2368.935672,2015.931829,3850.92294,1562.943557,64.27314823
4292,6,179,21,5834.915467,8925.209272,13394.41294,14538.88583,2006.154876,7454.128738,6150.627878,4509.858958,2970.484179,293.0825409,2096.370179,5184.119871,4724.049844,2166.379069,5295.477831,14964.53518,2193.80714,1866.899846,3566.235395,1447.399681,59.52162112
4293,6,179,22,5583.180011,8422.408423,12105.14512,13933.94632,1865.668903,6932.134876,5719.914898,4194.044893,2762.468654,272.5587087,1966.887778,4838.572254,4409.168204,2034.468856,4973.037674,14057.00482,2060.762808,1753.68094,3349.95959,1359.621535,55.91190804
4294,6,179,23,5333.360092,8066.435152,11044.5342,13454.66761,1761.160246,6543.819401,5399.504013,3959.108245,2607.724214,257.2908632,1931.920702,4575.234512,4169.200639,1936.165544,4732.745927,13397.04189,1964.011965,1671.347298,3192.682191,1295.788604,53.28689743
4295,6,179,24,5247.204074,7873.194783,10359.88886,13121.9263,1684.999783,6260.835319,5166.005257,3787.898658,2494.95453,246.164453,1900.14606,4413.170926,4021.519552,1864.159785,4556.735686,13100.88628,1920.595428,1634.400419,3122.104615,1267.143843,52.10893488
4296,6,180,1,5158.980754,7859.868566,9846.535551,12983.08124,1645.577504,6114.356727,5045.141325,3699.276928,2436.582539,240.405186,1910.297644,4320.879593,3937.418708,1871.060595,4573.603966,12913.25721,1893.088928,1610.992764,3077.390267,1248.995985,51.36263797
4297,6,180,2,5252.099839,7992.075375,9584.200255,13052.21885,1651.333714,6135.744673,5062.789169,3712.216954,2445.105675,241.2461204,1991.318093,4409.042865,4017.757841,1930.534199,4718.980719,13309.07252,1951.115619,1660.372683,3171.717993,1287.280032,52.9369982
4298,6,180,3,5461.432933,8291.214677,9615.209082,13308.19867,1714.987307,6372.257854,5257.943374,3855.310952,2539.356618,250.5453808,2115.171192,4595.062372,4187.268856,2067.972625,5054.933991,13807.92808,2024.248053,1722.607383,3290.601494,1335.530335,54.92120225
4299,6,180,4,5784.498444,8922.305569,9958.293624,13847.13552,1831.443339,6804.965352,5614.983464,4117.105436,2711.791362,267.5586384,2253.527312,4904.785809,4469.505569,2231.766314,5455.309835,14703.87863,2155.594781,1834.381651,3504.117688,1422.18846,58.48485651
4300,6,180,5,6095.902095,9611.126206,10825.23767,14464.86517,1965.107907,7301.613398,6024.782841,4417.584904,2909.706532,287.0859201,2366.307006,5227.618319,4763.687978,2367.689261,5787.558684,15701.32248,2301.820467,1958.817708,3741.820998,1518.663217,62.45220157
4301,6,180,6,6406.658648,10297.39809,11905.00107,15177.53271,2117.564302,7868.084915,6492.195685,4760.308613,3135.446487,309.3585313,2473.226482,5557.616711,5064.400324,2492.470776,6092.573514,16855.07056,2470.960419,2102.753492,4016.773556,1630.256032,67.04124861
